192.168.1.110 55034 134.170.104.216 443 TCP 0 714 1 443 191 191 SSL
192.168.1.110 55036 134.170.104.216 443 TCP 0 714 1 443 191 191 SSL
192.168.1.110 41131 184.50.93.117 443 TCP 1 682 1 443 186 186 SSL
192.168.1.110 58462 64.4.45.209 443 TCP 0 714 1 443 205 205 SSL
192.168.1.110 55131 137.116.237.228 443 TCP 0 714 1 443 189 189 Skype
192.168.1.110 53127 23.42.181.186 443 TCP 1 544 1 443 197 197 SSL
192.168.1.110 35765 60.211.253.134 80 TCP 0 720 1 80 507 507 HTTP
192.168.1.110 60961 218.60.4.37 80 TCP 0 720 1 80 450 450 HTTP
192.168.1.110 37448 64.4.46.173 443 TCP 0 714 1 443 216 216 SSL
192.168.1.110 37449 64.4.46.173 443 TCP 0 714 1 443 216 216 SSL
192.168.1.110 37450 64.4.46.173 443 TCP 0 714 1 443 216 216 SSL
192.168.1.110 37451 64.4.46.173 443 TCP 0 714 1 443 216 216 SSL
192.168.1.110 39669 70.39.191.143 80 TCP 1 483 1 80 548 548 HTTP
192.168.1.110 39670 70.39.191.143 80 TCP 1 691 1 80 548 548 HTTP
192.168.1.110 46211 60.211.253.134 443 TCP 1 485 1 443 219 219 SSL
192.168.1.110 46210 60.211.253.134 443 TCP 1 485 1 443 219 219 SSL
192.168.1.110 46212 60.211.253.134 443 TCP 1 485 1 443 219 219 SSL
192.168.1.110 46213 60.211.253.134 443 TCP 1 485 1 443 219 219 SSL
192.168.1.110 35770 60.211.253.134 80 TCP 1 326 2 80 527 527 HTTP
192.168.1.110 56843 96.16.169.165 443 TCP 1 543 1 443 188 188 SSL
192.168.1.110 56842 96.16.169.165 443 TCP 1 543 1 443 188 188 SSL
192.168.1.110 39685 70.39.191.143 80 TCP 1 483 1 80 548 548 HTTP
192.168.1.110 39686 70.39.191.143 80 TCP 0 720 1 80 548 548 HTTP
192.168.1.110 33412 182.118.6.72 80 TCP 0 720 2 80 444 0 HTTP
192.168.1.110 33408 61.54.29.9 80 TCP 2 319 1 80 514 514 HTTP
192.168.1.110 59758 61.54.29.9 443 TCP 2 52 2 443 183 183 SSL
192.168.1.110 43730 152.19.134.40 21 TCP 2 15 2 21 16 16 FTP_CONTROL
